axis	symbol	ensg
Hemato	PTPRC	ENSG00000081237
Hemato	CD14	ENSG00000170458
Hemato	CD68	ENSG00000129226
Hemato	LYZ	ENSG00000090382
Hemato	CD3E	ENSG00000198851
Hemato	MS4A1	ENSG00000156738
Hemato	MZB1	ENSG00000170476
Hemato	JCHAIN	ENSG00000132465
Hemato	CSF1R	ENSG00000182578
Hemato	CD19	ENSG00000177455
Hemato	CD79A	ENSG00000105369
Bone	BGLAP	ENSG00000242252
Bone	SP7	ENSG00000291837
Bone	ALPL	ENSG00000162551
Bone	IBSP	ENSG00000029559
Bone	SPP1	ENSG00000118785
Bone	MEPE	ENSG00000152595
Bone	DMP1	ENSG00000152592
Bone	RUNX2	ENSG00000124813
Bone	PHEX	ENSG00000102174
Bone	COL1A1	ENSG00000108821
Bone	TMEM119	ENSG00000183160
Bone	ENPP1	ENSG00000197594
Adipo	ADIPOQ	ENSG00000181092
Adipo	PLIN1	ENSG00000166819
Adipo	PLIN4	ENSG00000167676
Adipo	FABP4	ENSG00000170323
Adipo	GPAM	ENSG00000119927
Adipo	CFD	ENSG00000274619
Adipo	LEP	ENSG00000174697
Adipo	LPL	ENSG00000175445
Adipo	PLIN2	ENSG00000147872
Adipo	CIDEC	ENSG00000187288
