"gene","0","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","25","3","4","5","6","7","8","9"
"PTPRC",9.23,9.67,4.93,4.24,8.94,3.26,7.59,4.14,4.45,10.22,8.83,8.43,10.37,4.99,7.82,9.16,7.53,9.74,9.85,6.49,8.93,10.02,8.3,10.05,4.59,9.19
"CD14",3.21,1.22,2.1,4.81,1.11,1.55,0.75,0.28,5.39,0.74,7.14,9.46,1.24,3.62,1.56,0,1.9,0,4.61,1.43,8.44,4.32,2.49,6.04,0.77,2.49
"CD68",3.06,3.46,2.36,5.16,1.89,1.1,2.59,1.2,3.47,1.88,7.04,9.8,1.9,3.93,7.74,2.9,5.29,0,4.61,4,7.78,1.66,3.98,4.88,2.96,2.84
"LYZ",13.06,5.45,7.63,6.37,5.81,5.68,6.35,5.82,7.52,5.75,12.21,9.15,5.84,5.78,8.35,6.97,6.55,4.19,12.31,10.26,14.18,10.74,13.02,9.17,4.92,6.05
"CD3E",4.78,8.86,2.5,2.94,2.92,1.52,2.35,2.63,2.89,8.7,3.13,3.01,9.15,3.62,3.2,8.09,0,9.15,0,2.92,2.4,4.66,5.02,3.76,2.44,3.83
"MS4A1",3.72,3.35,0.9,1.75,6.38,0.78,2.94,0,0.85,2.12,0.85,2.51,5.18,2.79,0.83,5.66,0,3.65,0,1.93,1.18,2.91,4.25,3.16,1.96,9.75
"MZB1",5.69,3.96,2.59,3.8,9.28,1.55,7.21,4.96,2.81,4.76,2.37,2.51,4.08,3.22,9.1,5.99,5.13,3.12,3.14,5.48,2.71,4.6,5.26,4.74,10.87,6.58
"JCHAIN",6.14,3.65,2.92,3.68,5.24,2.5,6.31,2.81,3.41,3.55,2.88,4.31,4.17,3.75,10.42,2.9,3.58,2.27,4.06,5.21,3.53,5.3,5.38,5.17,12.03,7.19
"CSF1R",1.5,1.28,1.77,0.84,1.55,0.59,1.67,0,0.85,0,6.56,8.6,1.24,1.75,4.56,2.09,0,0,0,2,5.77,1.06,1.72,3.05,0.16,1.34
"CD19",1.9,0.47,0.6,0.99,7.32,0.36,4.64,0,0,1.23,0.26,0.67,0.8,0,0,2.9,0,1.55,0,0.64,0.46,1.39,1.91,0.73,3.41,6.28
"CD79A",3.79,3.14,1.54,2.41,9.25,1,7.46,1.45,0.85,2.82,1.58,2.36,2.31,3.47,4.02,5.87,3.2,4.47,0,2.64,1.76,3.63,4.02,3.53,7.25,10.4
"COL1A1",4.58,3.31,7.09,12.55,4.53,1.81,3.83,2.22,2.89,1.88,3.07,3.92,3.34,7.65,1.9,3.8,2.69,3.65,0,3.5,2.51,5.26,4.53,4.97,2.38,4.62
"RUNX2",3.99,4.64,2.04,7.72,2.03,0.9,4.37,0.72,0.49,2.95,4.99,2.36,1.9,3.39,7.53,2.68,4.6,3.85,4.61,4.71,3.85,3.69,4.41,4.78,1.06,1.16
"SP7",0.69,0.13,0.9,4.85,0.83,0,0,0.28,0,0,0,0,0,0.67,0,0,0,1.55,0,0,0,0,0.94,0,0,0.69
"ALPL",0.38,0.56,1.45,6.97,0.47,0.36,0.63,0,3.91,0,0.26,1.12,0.17,3.47,1.74,0,1.24,0,5.8,0.81,0.61,3.43,2.81,6.68,0.11,0.39
"IBSP",4.58,1.28,6.24,11.57,2.39,1.48,1.32,0.52,1.59,2.95,1.13,2.66,2.27,2.37,1.12,1.66,1.9,2.76,4.06,2.55,1.56,5.09,3.8,3.53,1.09,2.32
"SPP1",4.46,5.65,2.95,11.66,2.77,1.52,5.27,1.2,4.76,2.51,2.76,9.13,3.18,1.99,2.93,4.35,1.24,3.12,0,2.41,2.95,6.08,4.69,5.37,1.22,2.13
"MEPE",0,0,2.67,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0
"DMP1",0,0,1.45,0.67,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHEX",0.69,0.25,3.34,1.66,0,0,0.18,0.28,0,0,0,0.67,0.17,0,6.54,0,0,0,0,0.25,0.2,0,0.94,0.73,0,0.69
"BGLAP",1.9,1.22,2.26,8.65,1.73,0.52,0.63,0.28,1.14,1.23,0.26,1.47,1.24,1.48,1.35,1.06,1.24,0,0,0.81,0.68,0.62,0,2.31,0.21,1.34
"TMEM119",0.69,0.47,1.14,6.34,0.47,0.19,0.18,0,0,0,0.26,1.98,0.17,3.55,0,1.06,1.24,0,0,0,0.1,0,0,0.73,0.3,0
"ENPP1",1.78,1.04,0.23,8,0,0.72,0,0.52,1.14,0.74,4.15,0,0.46,2.19,0.47,1.06,0,0,0,0.25,0.61,1.06,1.25,0.73,0.51,1.16
"ADIPOQ",0,0.13,0,2.61,0,0,0,0,0.49,0,0,0.67,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
"PLIN1",0,0.25,0,2.74,0,0,0,0,0.49,0,0,1.75,0,0,0,0,0,0,0,0,0.2,0,0,0,0.06,0.39
"PLIN4",0,0,0,1.12,0,0,0.18,0,1.14,0,0,0,0,2.79,0,0,0,0,0,0.25,0.29,1.39,0,1.87,0.06,0
"FABP4",4.78,2.55,3.13,5.31,2.39,1.41,1.61,1.2,12.53,1.88,4.07,9.31,3.07,8.38,1.56,1.66,1.9,1.55,3.14,4.17,5.19,4.36,4.25,4.91,1.65,3.01
"GPAM",1.15,1.34,2.85,2.56,1.55,1.87,2.27,0.28,2.44,1.23,1.26,3.21,1.69,3.02,2.4,2.41,1.9,0,0,2.36,1.18,0.62,1.51,1.21,0.8,2.41
