"","Age66M","Normal","OP","Osteopenia"
"0",217,516,431,861
"1",298,824,185,494
"10",135,122,150,188
"11",80,126,72,282
"12",40,11,405,95
"13",75,115,147,177
"14",97,97,153,79
"15",56,143,48,87
"16",37,78,49,167
"17",47,149,27,82
"18",29,91,47,99
"19",20,4,120,121
"2",260,601,283,644
"20",33,92,22,78
"21",26,94,20,81
"22",70,40,26,18
"23",35,48,12,43
"24",6,60,1,23
"25",19,26,5,22
"3",385,400,201,406
"4",195,319,257,511
"5",102,287,268,606
"6",157,320,243,523
"7",50,147,241,550
"8",63,161,196,324
"9",33,76,278,245
