"ensg","0","1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","25","3","4","5","6","7","8","9"
"AL627309.1",3,8,1,2,5,6,2,0,0,2,3,0,8,2,1,1,0,0,0,0,3,2,1,0,7,1
"AL669831.5",9,83,18,24,25,22,66,0,4,12,53,19,69,34,37,4,6,4,0,19,60,1,11,2,55,46
"FAM87B",0,0,0,8,1,1,2,0,0,1,1,1,0,9,1,1,0,0,0,0,1,0,0,0,2,0
"LINC00115",9,72,18,19,27,42,22,4,6,11,29,4,41,9,17,6,2,4,0,4,31,1,5,2,42,25
"FAM41C",4,20,5,2,9,6,15,0,3,3,7,2,17,4,11,0,3,1,1,9,17,2,3,5,8,4
"AL645608.3",0,2,0,12,1,1,5,0,0,0,0,1,1,1,0,0,0,0,0,12,1,0,0,0,0,0
"AL645608.5",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AL645608.1",0,1,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"SAMD11",0,3,3,156,1,0,3,0,2,0,0,0,1,18,1,1,0,0,1,15,2,0,0,0,30,1
"NOC2L",23,396,180,169,142,166,318,14,62,87,165,23,315,30,123,33,21,23,2,164,289,11,30,9,273,163
"KLHL17",3,15,3,14,13,8,3,1,4,2,3,6,30,1,3,3,0,0,0,1,17,0,2,2,33,4
"PLEKHN1",1,30,1,10,0,0,0,0,0,4,4,1,10,0,2,2,0,0,0,0,6,1,0,0,67,0
"AL645608.8",1,10,2,21,1,6,0,0,12,0,22,4,2,54,9,0,1,0,0,0,14,0,1,1,1,2
"HES4",10,128,12,368,2,27,34,1,166,12,337,53,39,1044,130,6,23,4,0,11,261,11,3,34,6,18
"ISG15",238,1332,160,475,860,1075,657,184,712,225,998,454,1008,288,185,128,77,67,14,214,1730,305,70,1115,1227,484
"AGRN",2,12,15,45,9,44,23,1,131,2,45,21,15,30,6,0,2,0,0,3,34,3,0,1,8,7
"C1orf159",5,20,14,20,10,32,29,1,10,14,16,6,32,9,8,5,1,0,0,18,55,3,7,0,18,10
"TTLL10-AS1",0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTLL10",0,6,0,0,0,0,6,0,6,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,2
"TNFRSF18",10,482,4,49,17,2,42,1,7,77,10,3,79,1,3,7,10,22,0,3,24,5,10,2,694,48
"TNFRSF4",6,788,4,26,3,0,30,3,94,39,20,12,89,1,4,10,12,36,0,4,20,6,10,5,399,7
"SDF4",48,613,208,696,96,235,302,18,185,140,262,103,442,107,112,34,46,39,1,148,643,25,39,33,1146,129
"B3GALT6",7,186,40,67,42,10,116,0,40,40,53,13,138,14,74,5,14,7,0,54,123,7,8,3,124,83
"C1QTNF12",0,5,4,14,3,2,3,0,2,0,1,2,6,0,0,0,1,0,0,2,6,0,1,0,4,5
