"ensg","donor","localization","Immune_ref","Skeletal_ref"
"ENSG00000225972.1",0.111451213273644,0.415816869703119,0.16415512151894,0.000196012887267742
"ENSG00000225630.1",0.122625897644666,0.480168354318055,0.0729242959625292,0.0788834050411677
"ENSG00000237973.1",0.10384456123146,0.627461459635351,0.201691665788596,0.0224276622325007
"ENSG00000229344.1",0,0.488553673762194,0.0275528974715887,0.24095291747611
"ENSG00000248527.1",0.0705657250379119,5.71181610125797e-11,0.01961355297108,0.00853985623947178
"ENSG00000198744.5",0.0439262655322252,0.520137685702421,0.0345047021436592,0.011544356049967
"ENSG00000228327.3",9.02256520462447e-17,0,0.0191944888026415,0.0654484816656849
"ENSG00000237491.10",0,0,0.0421270282767046,0.0154381237170144
"ENSG00000177757.2",0.205297518203393,0,0.0425423012564229,0.00721448969152387
"ENSG00000228794.9",0,0.522092408738706,0.333796637296709,0.0223237182042098
"ENSG00000225880.5",0,0,0.0590019465045401,0.0294876580795507
"ENSG00000223764.2",0,0,0.108991246249621,0.411949235476198
"ENSG00000187634.12",0,0,0.0320334871016315,0.104538698854104
"ENSG00000188976.11",0,0,0.0999929219932559,0.00999078673632907
"ENSG00000187961.14",0,0,0.14897824296339,0.0696824545050481
"ENSG00000187583.11",0.200236635364797,0,0.516354358497862,0.119478839644313
"ENSG00000187642.9",0,0,0.126503747009123,0.147067176849208
"ENSG00000272512.1",0,0,0.0198893278664543,0.100734323226167
"ENSG00000188290.10",0,0,0.0116835852700991,0.154147009484672
"ENSG00000187608.10",0,0,0.0734494386116039,0.0146510390525472
"ENSG00000188157.15",0,0,0.191901637417389,0.185931998646795
"ENSG00000217801.10",0.0417428905530303,3.18001304961774e-11,0.369151536203394,0.0218118460575032
"ENSG00000131591.17",0.125300722162824,3.62425106370511e-12,0.311752117375282,0.140450615764615
"ENSG00000285812.1",0,0,0.00349753859466552,0.0519224197093052
"ENSG00000162571.13",0.0187169474800627,0,0.788612447126906,0.036947675977325
"ENSG00000186891.14",0,0,0.61755564105799,0.140012955776344
"ENSG00000186827.11",0,0,0.293234410760901,0.0606634331693837
"ENSG00000078808.17",5.41414725247278e-16,0,0.24488804040768,0.0754534218453839
"ENSG00000176022.7",0,0,0.00491229580905238,0.120840990363978
"ENSG00000184163.3",0.0653005540876619,7.64286480785583e-12,0.339572289850374,0.0548454636841781
"ENSG00000260179.1",0.0436499397706337,1.34627567512151e-12,0.212882645982803,0.614237332785758
"ENSG00000160087.20",0,0,0.285925244191024,0.145075440516166
"ENSG00000230415.1",0,0,0.0995649146856309,0.0547742061792576
"ENSG00000162572.21",0,0,0.00800590093572509,0.0242529827274836
"ENSG00000131584.19",0,0,0.119752673669715,0.000179784085064449
"ENSG00000169972.12",0.0982153489057465,2.8149184316045e-15,0.679310780517602,0.0100963673393154
"ENSG00000127054.20",0,0,0.0180989461235204,0.00777652830383269
"ENSG00000240731.1",0,0.207961251963145,0.0958433537315295,0.00121056656755853
"ENSG00000224051.7",0.110957939966593,3.78481069594287e-11,0.086334854572571,0.0115676343835583
"ENSG00000169962.5",0.250820794827488,0,0.245254445707455,0.343497983154065
"ENSG00000107404.20",0,0,0.20576898379117,0.108164952417224
"ENSG00000162576.16",0,0,0.0912573251620924,0.878171659178879
"ENSG00000175756.13",8.6620358190335e-15,0.616841848804845,0.0702829836900125,0.151650493672703
"ENSG00000221978.12",5.91035083850482e-12,0.464574304773377,0.0247270031407188,0.0288009187564217
"ENSG00000224870.7",0,0,0.0923778563695065,0.552276919076576
"ENSG00000242485.6",0.323899364822376,0,0.00883100585407288,0.00466698254489196
"ENSG00000272455.1",0,0,0.0807681161625071,0.00746375099760408
"ENSG00000235098.8",0,0,0.20737940171922,0.206884638330118
"ENSG00000225285.1",0,0,0.00511185123340893,0.467470449596433
"ENSG00000179403.12",0,0,0.0770692817703244,0.434710783002278
"ENSG00000215915.10",0,0,0.237467682628275,0.0712942244090807
"ENSG00000160072.20",0,0,0.306973108871494,0.038356525758634
"ENSG00000197785.14",0.222382965541603,1.58982474021954e-11,0.487678255741315,0.0444444646621849
"ENSG00000205090.9",0,0,0.287886496857396,0.000534649677764303
"ENSG00000160075.12",0,0.381435235722049,0.00386703729190384,0.00900219117874159
"ENSG00000215014.5",0,0,0.0711296616398115,0.0449689385081753
"ENSG00000228594.4",0.0703640147714737,0,0.37255457213428,0.434571829087575
"ENSG00000272106.1",0,0,0.0020512731245854,0.06772729080222
"ENSG00000197530.12",0,0,0.150898519403181,0.0317845890257348
"ENSG00000248333.8",0,0,0.190171531284194,0.0545208813336715
"ENSG00000189339.12",0.0531104998575642,0.578637744656663,0.191753568165455,0.0464710044576372
"ENSG00000269737.2",0,0,0.0488797509672534,0.0447032291610983
"ENSG00000008128.23",0.168171361702074,0,0.0982709388492154,0.064037879055444
"ENSG00000268575.1",0,0,0.00736653024431068,0.00542682017069483
"ENSG00000215790.7",0,0,0.0125966946833757,0.110156661272663
"ENSG00000008130.15",0,0,0.00938485397164172,0.119839828864304
"ENSG00000078369.18",0.303180711147306,4.11089798356432e-12,0.239499227779294,0.0105261340735448
"ENSG00000231050.1",0.177651864899413,2.03555412287862e-13,0.0733387120389112,0.14447472643094
"ENSG00000067606.17",0,0,0.389457670788746,0.0166742343367784
"ENSG00000162585.17",0,0,0.0625991034768502,0.0187668052272531
"ENSG00000157933.10",0,0,0.01235630053212,0.0309325745684623
"ENSG00000287356.1",0,0,0.141570402776822,0.269464969947183
"ENSG00000116151.14",0.237897598421566,0,0.111887431367991,0.00563353743986537
"ENSG00000269896.2",0.337094749019008,0.139503166034391,0.00256973963998944,0.18461647844268
"ENSG00000157916.20",0,0.63888712552976,0.067397519450781,0.0657199989975295
"ENSG00000157911.10",0.0346248513117684,0,0.797489671100632,0.0127039907834339
"ENSG00000149527.18",0,0,0.825184785918421,0.0221743720813052
"ENSG00000157881.15",0.0800572284435772,5.85741614174378e-12,0.300110958008843,0.00220833558239691
"ENSG00000272449.2",0,0,0.722813894388341,0.149175912799033
"ENSG00000238164.6",0,0,0.662859184714711,0.0485335753771718
"ENSG00000157873.17",0,0,0.516094985944368,0.00418699854471725
"ENSG00000225931.3",0,0,0.0846938054252427,0.0281741413255074
"ENSG00000157870.16",0.114679183622061,0,0.379508453680062,0.016192198444693
"ENSG00000215912.12",0,0,0.000536663957624268,0.00579314284992324
"ENSG00000177133.11",0.150652837230351,3.59395967447163e-12,0.236552456051473,0.155510474431914
"ENSG00000142611.17",0,0,0.096191491963825,0.454465534323502
"ENSG00000286518.1",0,0,0.0963382151552255,0.0119440439236434
"ENSG00000130762.15",1.57394679111778e-12,0.422684552213876,0.303462390425249,0.100050172003404
"ENSG00000162591.16",0,0,0.141199332517278,0.0405367779785607
"ENSG00000158109.15",0,0,0.0845851339576025,0.0503811967231164
"ENSG00000116213.16",0.0376741926302763,0,0.2295891444311,0.153941900322069
"ENSG00000227372.12",0.155609250126888,0,0.0625944090298977,0.0233229256440595
"ENSG00000235169.8",0,0,0.67481333821981,0.275901213670853
"ENSG00000130764.10",0,0,0.0811340946044154,0.014673435580348
"ENSG00000116198.13",0,0.363852454142963,0.0225277583391817,0.0664913815382458
"ENSG00000169598.15",0,0,0.167603063014586,0.263075366795584
"ENSG00000198912.11",0,0,0.0287672897714644,0.416548051945618
"ENSG00000236423.6",0,0,0.00998857924986318,0.0146077635161133
"ENSG00000131697.18",0,0,0.462395560005833,0.0724987208592627
"ENSG00000069424.15",0,0,0.882132155013071,0.00584544229840979
"ENSG00000116251.11",0.0183489928995171,0.624841060139677,0.0550784857466928,0.0604989122151621
"ENSG00000158286.13",0.357476567436584,8.17912928290579e-13,0.0646573254561229,0.15530624889849
"ENSG00000116237.16",0.119452519358532,1.28822653860794e-10,0.127838561265916,0.0157285453588013
"ENSG00000158292.7",0,0,0.0445116081311931,0.481774979918747
"ENSG00000097021.19",0,0,0.173762704864357,0.0317073936152725
"ENSG00000187017.17",0.017324244085752,0,0.565052120257682,0.230302271453659
"ENSG00000215788.10",0.362971686475571,3.29342866350752e-11,0.0553373227350106,0.00696344211440597
"ENSG00000171680.22",0.0719270794574671,0,0.0835142908316383,0.412331063233164
"ENSG00000162408.11",0,0,0.000574189322396137,0.0660539513175984
"ENSG00000173662.21",0.433975179676983,0.20760444806979,0.0119634805537248,0.00313754939214603
"ENSG00000204859.13",0,0.357129576782235,0.155451566784036,0.30308625314896
"ENSG00000162413.16",2.10317394777859e-12,0.335358144276647,0.000723985704587807,0.166475494944453
"ENSG00000116273.6",1.96472081433267e-15,0,0.061740095144649,0.0346200078417512
"ENSG00000041988.15",0,0,0.148146592597389,0.243070186406348
"ENSG00000007923.16",0.016265842572277,0.707247600622768,0.132192860634276,0.0275372119792167
"ENSG00000237436.1",0,0,0.00163178704941838,0.034925692719477
"ENSG00000171735.19",0,0,0.254672456944566,0.029203310903943
"ENSG00000049245.13",0,0,0.101095108546479,0.00334286624528152
"ENSG00000049246.14",0.0876886921901436,0,0.240472852290831,0.265295313215949
"ENSG00000049249.8",2.64221483816047e-16,0,0.680397484701586,0.0037498833633907
"ENSG00000116288.13",0,0,0.409961304789919,0.055297464164635
"ENSG00000284747.1",0,0.27783970037609,0.0140013411549273,0.410152059753455
"ENSG00000284716.1",0,0.287885543451058,0.112044481236458,0.0762333819826987
"ENSG00000116285.13",0.0468196758144125,0,0.000288194199268685,0.433969188818618
"ENSG00000238290.1",0.0704747617237745,2.18299226512057e-14,0.0604404680795151,0.297242625622016
"ENSG00000162426.14",0,0,0.268030963097988,0.00238387897637441
"ENSG00000142599.19",0,0.473879011498355,0.000354548339178155,0.15322395945233
"ENSG00000232912.6",0,0,0.117276135892,0.02918241684457
"ENSG00000234619.1",0.0430750768945393,2.65197830700054e-14,0.00403852839748843,0.587821780965922
"ENSG00000228423.2",0,0,0.0113522103864329,0.43588430306313
"ENSG00000074800.16",0.0815649125200848,0.344603471503796,0.214895153311119,0.135275112017444
"ENSG00000142583.18",0.241766893676396,0,0.47154354811423,0.132379339284844
"ENSG00000180758.12",0,0,0.263363855258579,0.0381394236308943
"ENSG00000228526.7",0,0,0.0517166475849438,0.166391393050049
"ENSG00000234546.4",0,0,0.0219152983550297,0.236798722860917
"ENSG00000049239.12",1.3989782275857e-12,0.3365872992015,0.00979609599776483,0.350001921139036
"ENSG00000171621.14",5.9714250642287e-20,0.399939737494498,0.0182764367151652,0.307443383392147
"ENSG00000284693.1",0,0,0.238548814426381,0.00997983231168022
"ENSG00000171612.7",0.0989103792091721,3.04361027445407e-14,0.00468690610548411,0.021553918934283
"ENSG00000188807.13",0,0,0.0423128473484745,0.111738031032418
"ENSG00000171608.16",0,0,0.667600631597953,0.176288288755113
"ENSG00000179840.5",0,0,0.633313967396596,0.00562751428349938
"ENSG00000231789.2",0.0894431398113769,0,0.533282628606396,0.213549832159909
"ENSG00000171603.17",0,0,0.183628777297762,0.146353739260523
"ENSG00000178585.15",0,0,0.50786477601001,0.00376059179757474
"ENSG00000285701.1",0,0.410971942044008,0.166339994048694,0.1414347346777
"ENSG00000162441.12",0.286726114971434,1.77713394002848e-16,0.0403562542092914,0.365134315787437
"ENSG00000173614.14",0,0,0.308957710329522,0.17090926055625
"ENSG00000283611.2",0,0.464800487285126,0.0367082960957707,0.344171786470046
"ENSG00000162444.12",0.364997340752337,0,0.249817180027688,0.0526407108969819
"ENSG00000130939.20",0,0,0.00100696914765671,0.123031135593908
"ENSG00000054523.17",0,0.532000427177898,0.0963807921391902,0.228938576088895
"ENSG00000284735.1",0.251207741018129,0,0.155256460464156,0.494269386363122
"ENSG00000284642.1",0.149229993817411,5.25308494478184e-12,0.0019107897378473,0.00300283857015122
"ENSG00000142657.21",0,0,0.00462890542037791,0.0265653403184586
"ENSG00000160049.12",3.9134058507582e-16,0,0.0234818032709715,0.0619394716667199
"ENSG00000142655.13",0,0,0.00274631525448171,0.071903178292818
"ENSG00000287727.1",0.113138234363209,0,0.0860747110075174,0.404692571797666
"ENSG00000130940.15",0,0,0.248829364079938,0.0833560031284941
"ENSG00000272078.1",0,0,0.1081583881998,0.184401401825378
"ENSG00000120948.17",4.65995386115635e-14,0.498247070928718,0.446954658104928,0.00201549078320156
"ENSG00000009724.17",0.0328435429722898,0.349651836360824,0.0940103815097975,0.302121906387662
"ENSG00000116649.10",0,0,0.0470316655823288,0.0203614462378924
"ENSG00000171824.14",0,0.48466935133473,0.119382788525049,0.0131524122166668
"ENSG00000198793.13",0,0,0.0235386774093712,0.000422368862876386
"ENSG00000171819.5",0,0,0.171026814114188,0.0647259372675228
"ENSG00000120942.13",0,0,0.116849597354384,0.001398919764382
"ENSG00000116661.11",0.103396586187288,6.29821310793587e-11,0.0124989446347035,0.00475735722134339
"ENSG00000132879.14",0.0968573435923006,0,0.0513919938949409,0.112890293998352
"ENSG00000116663.11",0.0151731795545706,4.08878503511661e-13,0.0169654940218819,0.0872875440134883
"ENSG00000116670.15",0.320071148447444,4.01165404719954e-13,0.28860853057715,0.0268464665790741
"ENSG00000162490.7",0,0,0.521621698424984,0.00498584430070892
"ENSG00000177674.16",0,0,0.345811712597449,0.332241792463612
"ENSG00000177000.12",0,0,0.374900762586164,0.157648643909521
"ENSG00000011021.23",0,0.363952129821551,0.0650963458459847,0.0499720612023931
"ENSG00000285646.2",0,0,0.0344684511356317,0.00116974227394612
"ENSG00000116685.16",9.06537502551046e-12,0.557375215926861,0.121780085436001,0.0195640521837715
"ENSG00000083444.17",0,0,3.4748430207857e-05,0.599229335876118
"ENSG00000116688.16",0,0.56351950157208,0.358869320907237,0.0084405668281091
"ENSG00000116691.11",0,0,0.583049716937562,0.00463644745484191
"ENSG00000120949.15",0,0,0.410229201324653,0.104428574769916
"ENSG00000028137.19",0,0,0.710615094583418,0.00251841609313361
"ENSG00000048707.15",0,0.655304073320706,0.0457385577316416,0.127304931950532
"ENSG00000162496.9",0.0239539268557022,0.259301552121754,0.289685495006611,0.345318594412093
"ENSG00000272482.1",0,0,0.380271077947093,0.0597427172222482
"ENSG00000162493.16",0,0,0.0681267419873286,0.460019406204212
"ENSG00000116731.22",0,0,0.262415603307761,0.0731203595195479
"ENSG00000189337.17",0,0,0.0380676164696079,0.626615880720262
"ENSG00000231606.2",0.0441998601610832,0,0.136610996900378,0.54219758299772
"ENSG00000234593.3",0,0,0.103758887595861,0.437572921604704
"ENSG00000287756.1",0,0,0.246629728526084,0.426271830596085
"ENSG00000175147.13",2.7389962294945e-13,0.148337526537712,0.131004037711386,0.283386334329714
"ENSG00000171729.14",0,0,0.545728750134984,0.258765880020931
"ENSG00000142621.19",0,0,0.0819020057761129,0.300399218560312
"ENSG00000228140.2",0,0,0.148546459533084,0.0472828987207608
"ENSG00000142634.13",0,0,0.824765273945516,0.00983232976939424
"ENSG00000162438.12",0.284963357359845,0,0.472280488099379,0.00191324417539638
"ENSG00000132906.18",6.34957678211553e-16,0,0.314142063575341,0.0118927494990022
"ENSG00000116138.13",0,0,0.259351686627489,0.117935268041878
"ENSG00000116771.6",0,0,0.0836871625940565,0.0797959043770358
"ENSG00000197312.12",0,0,0.0157531072381254,0.364751378668378
"ENSG00000116786.13",0,0,0.308546336036216,0.0174749235604336
"ENSG00000237938.5",5.36337039638376e-17,0,0.482557405880818,0.00593680183165124
"ENSG00000162461.8",4.92174929818284e-16,0,0.039357698713676,0.0256393912254674
"ENSG00000162458.13",0.0712372136750985,0,0.298348575121788,0.403905057256764
"ENSG00000233954.6",0.292958503961371,9.55812563583072e-12,0.260176045171525,0.0345849640238433
"ENSG00000179743.4",0,0.216257733834291,0.0248902629741061,0.065723491376726
"ENSG00000065526.11",0,0.589622268307828,0.0595364296979225,0.0649557140115148
"ENSG00000116809.11",1.76915339648505e-16,0,0.0167838478629401,0.0118460613141702
"ENSG00000173641.17",0,0,0.696601537730398,0.0772379363776131
"ENSG00000142627.13",0.0305226375525564,3.72539591362419e-14,0.108476578884294,0.466550770843101
"ENSG00000142632.17",0,0,0.389213659480907,0.433254967189834
"ENSG00000237276.8",0.130006177172968,0,0.217683878266481,0.0730841442496603
"ENSG00000288398.1",0.247522836325016,1.69614591896783e-13,0.446376162368552,0.0503230038792778
"ENSG00000132881.12",0.00543770727914356,0,0.0209139859444878,0.344997811097435
"ENSG00000037637.11",0,0.50888650305414,0.189757142616282,0.0999053246617136
"ENSG00000055070.17",0,0.0779775627506945,0.0578166396534167,0.595572782532373
"ENSG00000187144.11",0,0,0.0521719897988151,0.00448765851697496
"ENSG00000157191.20",0.0290980961543886,0.237986589718495,0.723213776268933,0.001750276179358
"ENSG00000226029.1",0,0,0.0255848516253614,0.0962784754914913
"ENSG00000080947.15",0,0,0.000648316458726366,0.115914498156152
"ENSG00000233421.4",0.167929765474882,0,0.520729828739632,0.0435475164924081
"ENSG00000219481.10",0,0,0.20883947259282,0.0261456342993627
"ENSG00000215908.10",1.05074604474241e-16,0,0.16252400446527,0.440247327426071
"ENSG00000058453.17",0,0,0.000889757906090424,0.0121279240684967
"ENSG00000117122.14",0.142867801458318,2.70974779860266e-12,0.114280180974648,0.584503066322531
"ENSG00000159363.18",0,0,0.0188172376727318,0.18540272352735
"ENSG00000117118.9",0,0,0.0463445422399623,0.077820564956116
"ENSG00000117115.13",0,0,0.842628624137004,0.0106578574183062
"ENSG00000159339.13",0.0265567353195652,0.134397963496438,0.793596161169797,0.0347492637912028
"ENSG00000179051.14",0,0,0.894003835632175,0.0315735542985385
"ENSG00000074964.17",0,0,0.109001168757366,0.451224282981426
"ENSG00000117154.12",0.0472084166346943,1.89244698719986e-22,0.644424211129041,0.000207376977195849
"ENSG00000280222.1",0,0,4.69542727655065e-07,0.0450821566168779
"ENSG00000159423.17",0.0641672712065395,0,1.48819313016898e-06,0.0456817580555056
"ENSG00000169991.11",0,0,0.0193249808981103,0.0258330215006765
"ENSG00000272084.1",0.0994551374939818,0.249831805119143,0.383413324111091,0.000560288610001105
"ENSG00000127481.15",1.23453802642949e-12,0.455844597267507,0.277054825025996,0.00769331179281788
"ENSG00000230424.1",0,0,0.211195023174406,0.100185211254245
"ENSG00000127463.15",0,0.443135130802077,0.0353620106070634,0.324985879985411
"ENSG00000053372.5",0,0,0.246359265319489,0.0212259593471879
"ENSG00000053371.12",0,0,0.0103837525193521,0.200012017463927
"ENSG00000040487.13",0,0,0.0167426066791539,0.104351819368654
"ENSG00000077549.18",0.338410360502782,0,0.43211777446339,0.0524269987327701
"ENSG00000240490.3",0,0,0.117230838015826,0.0758452296239797
"ENSG00000173436.15",0,0,0.00211681330492928,0.35704759062117
"ENSG00000158747.14",0,0,0.00260608224667229,0.774731623606478
"ENSG00000226396.1",0.0183833292328671,4.43662436205122e-10,0.00258559655473393,0.0917042228643604
"ENSG00000158748.4",0.370809043608713,0.109651725624056,0.0529804165188129,0.126581034934575
"ENSG00000162542.13",0.248819283567076,1.03357667592955e-11,0.137381122270162,0.202547755131645
"ENSG00000169914.6",1.70363287876275e-16,0,0.080720911485652,0.0495985442203811
"ENSG00000188257.11",0.0503459249187257,0,0.620356939997234,0.00317931429683234
"ENSG00000127472.11",0,0,0.122767956654992,0.42469849725751
"ENSG00000162543.6",0,0,0.762777425206494,0.0751634752882103
"ENSG00000162545.6",0.144221787125114,3.32284340614212e-17,0.0178889548522656,0.557997236310872
"ENSG00000090432.7",0,0,0.00346202494421104,0.186452276200236
"ENSG00000158825.6",0.0315238836567962,0.0441171635181783,0.740681153166491,0.13871625613253
"ENSG00000158828.8",0.0583787418116763,0.486341330390905,0.130423690848886,0.000261154725089366
"ENSG00000117242.7",1.60774511835284e-12,0,0.0933911818635113,0.0947405694125889
"ENSG00000244038.9",0,0.323417063138131,0.457179812577293,0.0755427978775718
"ENSG00000117245.12",1.70147403484949e-16,0,0.212424253066772,0.235143122519463
"ENSG00000189410.12",0.181660713285128,0.457369727401574,0.0610264346022161,0.116285988641663
"ENSG00000127483.18",0,0.434985752773941,0.235007573768682,0.066815142489194
"ENSG00000075151.20",2.52136706539548e-20,0.415401299838635,0.162389058142456,0.312609155779543
"ENSG00000117298.16",6.6276520704336e-13,0.369505097310709,0.00315168864298532,0.284564244227082
"ENSG00000236936.1",0.251016821510903,3.63583245929475e-13,0.0647497256458831,0.564649862999963
"ENSG00000231105.2",0.0393022750364044,0,0.40198930167152,0.0504548732795824
"ENSG00000142794.18",0,0,0.011504119846983,0.243097840404482
"ENSG00000162551.14",0.110894106758562,0.535013145300603,0.119107902366347,0.165935060561919
"ENSG00000076864.19",0.13460712061091,2.39143400118909e-14,0.530727699316845,0.0213391013140631
"ENSG00000090686.16",0,0,0.0790445579848562,0.0324935175028827
"ENSG00000187942.12",0,0,0.585721039277885,0.000275930602635778
"ENSG00000142798.20",0,0.218105173979497,0.0380913530891716,0.611682365722883
"ENSG00000218510.8",2.52354877435651e-11,0.322844408186533,0.0405384527875783,0.148559598895526
"ENSG00000070831.17",0,0,0.288677231321408,0.000559759292677563
"ENSG00000230068.2",0,0,0.288364782211931,0.00269339020867515
"ENSG00000162552.15",0.0967912521409992,7.14871875724408e-09,0.524481950242342,0.103246516242614
"ENSG00000184677.18",1.37119320408553e-23,0.497387352603549,0.241566782911431,0.12274832297217
"ENSG00000173372.17",0.131621852218216,5.77646109355257e-16,0.540067828663773,0.0701386165502613
"ENSG00000159189.12",0.234243249445643,0,0.571832719458222,0.0863148368646467
"ENSG00000173369.16",0.16407949409534,0,0.661476313057018,0.0856774053927574
"ENSG00000133216.16",0.0171363408250237,0.513710210745297,0.0934066345181377,0.311622246525707
"ENSG00000004487.16",0.0267093262748584,0,0.0370370967168622,0.00329826339176745
"ENSG00000169641.13",0,0.293173009130211,0.0842911322354513,0.50451002390303
"ENSG00000229010.1",0,0,0.319205006331682,0.0694396419621835
"ENSG00000261326.4",0,0.557748440274024,0.0658068263226613,0.0170251008515081
"ENSG00000284726.1",0,0,0.0581268653902754,0.000379638509694973
"ENSG00000125944.20",0,0,0.133605889059838,9.8862884782121e-05
"ENSG00000125945.15",0.129417705251381,0,0.159879549970479,0.152551631934571
"ENSG00000249087.7",0,0,0.400075170444001,0.0337024588351383
"ENSG00000204219.11",0,0,0.118877994473426,0.622122023511781
"ENSG00000088280.19",0.0124339996099102,0,0.239869499630707,0.600814345377181
"ENSG00000007968.7",0.00852420301133554,4.82879172298924e-10,0.750767466813276,0.136948909032888
"ENSG00000117318.9",0.108501720423914,0,0.144212492663339,0.425265936642371
"ENSG00000142676.14",0,0,0.0232864251587784,0.0751743981862568
"ENSG00000236810.6",0,0,0.0460165642569198,0.118239744941054
"ENSG00000011007.12",0,0,0.00434664293749269,0.129216661831631
"ENSG00000057757.10",0,0,0.256218569478437,0.259606386671057
"ENSG00000011009.11",0,0,0.151623550197178,0.0390929339281156
"ENSG00000117308.15",0.0677267444386381,0,0.574178297727989,0.017324736342589
"ENSG00000117305.15",0,0,0.118705337652112,0.0901743959472861
"ENSG00000179163.11",0,0,0.294516485169361,0.0526812007458551
"ENSG00000189266.13",0,0,0.223694174624869,0.117019130647157
"ENSG00000188529.15",0,0,0.116433276641607,0.0166740203205401
"ENSG00000185436.12",0.0118242613054227,0,0.665916837082016,0.158737609697715
"ENSG00000001460.18",0,0,0.00200512179500719,0.18395750628095
"ENSG00000001461.17",0.139419782024873,1.22797253182762e-15,0.356398115094039,0.00244378231637601
"ENSG00000117602.12",0.220811650401672,3.65640883142685e-12,0.444157263845184,0.000788878516652493
"ENSG00000133226.17",0,0,0.0681269735488394,0.19028388153134
"ENSG00000169504.15",0,0,0.190679154397211,0.217389962065505
"ENSG00000020633.18",0.000742621908801528,4.83047838088522e-13,0.805150125243048,0.00138960991294004
"ENSG00000117614.10",0,0,0.0232187895638049,0.100793049464706
"ENSG00000284602.1",0,0,0.0120341680459169,0.0730047307781534
"ENSG00000284657.1",0,0.218792794966636,0.258005997143798,0.290235323107218
"ENSG00000117616.18",0,0,0.333149484170425,0.0139600958509443
"ENSG00000261349.1",0.000691178669140401,0,0.17789787059722,0.152860777977069
"ENSG00000187010.21",0.281009791701068,2.70994328334443e-11,0.411339753181261,0.00717838670416229
"ENSG00000183726.11",0,0,0.316972120213524,0.124630676482878
"ENSG00000188672.18",0,0,0.714711533342006,0.238125814198869
"ENSG00000204178.11",0,0,0.30516915800283,0.0278826408727264
"ENSG00000157978.11",0,0,0.0213998811508678,0.0725942802889958
"ENSG00000117643.14",0.0596007059929618,9.20952188733357e-12,0.36349117227704,0.152297490958243
"ENSG00000233478.1",0,0,0.215609934596689,0.0638905349094317
"ENSG00000162430.17",0,0,0.0689693039456442,0.0166378649795889
"ENSG00000228172.5",3.49977991545005e-16,0,0.0322233409759095,0.27658524464977
"ENSG00000117640.18",7.01119253522487e-12,0.211631883953474,0.0228412403087383,0.0349545808732418
"ENSG00000127423.10",0.090581806024598,0,0.224581849908879,0.510897197051248
"ENSG00000182749.5",0.0615890904462626,0,0.34623130155434,0.393538828090509
"ENSG00000117632.23",1.21806894718642e-21,0.0353246421898748,0.928352627446614,0.00179482020417985
"ENSG00000158006.14",2.6393877026956e-17,0,0.143102652825257,0.012827909133534
"ENSG00000158008.10",4.83972285051098e-17,0,0.168523957576655,0.218702417805354
"ENSG00000158022.6",0.10678968956189,0,0.141876884824036,0.00456156576350928
"ENSG00000175087.10",0.148887942657795,1.03246375557682e-13,0.156045902423658,0.283901435358041
"ENSG00000197245.6",0.222057910180903,6.38351105957046e-12,0.00148634726110985,0.00198920099204245
"ENSG00000130695.15",0,0,0.460346546511841,0.28676424952191
"ENSG00000142669.15",0.0314549090464451,0.0947763213356009,0.503132523901209,0.0412891342880246
"ENSG00000158062.20",0.132049507435056,0,0.645054141070011,0.00435910242708509
"ENSG00000169442.9",0,0,0.586240740318678,0.230167622908642
"ENSG00000117682.17",0,0,0.066511634537565,0.134538164662518
"ENSG00000225891.2",0,0,0.0612822436617794,0.00854691135037904
"ENSG00000198830.11",0.128223557280409,0,0.622882451042353,0.0058258937932197
"ENSG00000117676.14",0.00674173095955127,0,0.951104393616427,0.0118882494356835
"ENSG00000243905.3",0,0,0.000387213470744575,0.0163816271977945
"ENSG00000260063.1",0,0,0.11856205180498,0.0602300854527262
"ENSG00000117713.20",0,0,0.220402523840586,0.228635134844018
"ENSG00000060642.10",0,0,0.162867081939598,0.0904736848782723
"ENSG00000204160.12",0,0.265280304936236,0.257686708000137,0.0116061552157671
"ENSG00000142751.15",0,0.158782034855067,0.0381241899799239,0.0214188026090937
"ENSG00000198746.13",0,0,0.0314126029351008,0.25529163879561
"ENSG00000090273.14",1.82036831509822e-16,0,0.04543012496933,0.342098616751289
"ENSG00000253368.4",0,0,0.238753062798897,0.349031472526169
"ENSG00000158246.8",0.0672877341780838,1.20050866233136e-08,0.013514026022626,0.0577292571763456
"ENSG00000090020.11",0,0.30199788159547,0.0596425888346128,0.195346887565739
"ENSG00000142784.16",0,0,0.0404146217293497,0.0206330676707651
