ensg,ensg_b,M1,M3,Hemato,Bone,M2,r_cd45,F_prim,FDR_prim,symbol,name
ENSG00000225972.1,ENSG00000225972,0.429192111111631,2.05755550197718e-13,0.163723041147044,0.316802922641294,0.0,-0.345250376279098,3.74252056594216,0.163235393506784,MTND1P23,MT-ND1 pseudogene 23
ENSG00000225630.1,ENSG00000225630,0.368215381929227,0.0,0.189648733622637,0.0899403087482353,0.106025539324175,-0.475604754810468,7.35284656441224,0.045151566624268,MTND2P28,MT-ND2 pseudogene 28
ENSG00000237973.1,ENSG00000237973,0.392948966064499,0.572331549385653,0.278907947470786,0.0398056676561709,0.0,0.178305623140673,6.97199260084161,0.0508455462041883,MTCO1P12,MT-CO1 pseudogene 12
ENSG00000229344.1,ENSG00000229344,0.146297830561727,0.0,0.15184240690458,0.0588223544219719,0.0,0.235169508542959,1.21068762454111,0.521621300226246,MTCO2P12,MT-CO2 pseudogene 12
ENSG00000248527.1,ENSG00000248527,0.0,4.12150388347013e-11,0.0523121817108202,0.0799603122114139,0.0,-0.326307487193892,2.85012402022014,0.237714814424757,MTATP6P1,MT-ATP6 pseudogene 1
ENSG00000198744.5,ENSG00000198744,0.384412386928102,0.0,0.0226982446875517,0.356198230940874,0.0,-0.0837754528754289,4.38347908219609,0.126080614426132,MTCO3P12,MT-CO3 pseudogene 12
ENSG00000228327.3,ENSG00000228327,0.0,0.0,0.0086487302190422,0.182104646973852,0.0,0.123149278809398,2.71189859946065,0.253406118447435,,
ENSG00000237491.10,ENSG00000237491,0.0,0.0,0.0081773831594255,0.162556616524025,0.113600569641917,-0.116349848551374,3.12205728082534,0.211352530810731,LINC01409,long independently transcribed non-coding RNA 1409
ENSG00000177757.2,ENSG00000177757,8.670128884835591e-15,0.0,0.0383141322454981,0.0480164488676225,0.0,-0.0925239791484481,0.809398445372453,0.643085026812287,FAM87B,family with sequence similarity 87 member B
ENSG00000228794.9,ENSG00000228794,0.628173002037462,0.0,0.215338628943344,0.583427877080068,0.0,0.220622142462173,6.22952576566946,0.0643333424736924,LINC01128,long independently transcribed non-coding RNA 1128
