gene_set,term,p,adj,combined,n_genes,genes
GTEx_Tissue_Expression_Up,GTEX-XYKS-1826-SM-4E3JV adipose tissue female 60-69 years,2.7729485386289306e-10,5.942150950170743e-07,94.89784220408421,31,IGHM;ACSS2;LAMA2;TSHZ2;IGHV4-34;IGLV3-1;BARX1;FBLN2;IGLV2-8;IGLV3-25
GTEx_Tissue_Expression_Up,GTEX-RWS6-1926-SM-47JXY breast female 60-69 years,4.085356445631312e-10,5.942150950170743e-07,89.33473807202209,32,RAMP2;LAMA2;MCM9;TSHZ2;WDR20;DPT;BARX1;LRP6;IGLV2-8;SCUBE2
GTEx_Tissue_Expression_Up,GTEX-P78B-1726-SM-3P5ZV colon female 40-49 years,2.945648695359624e-09,2.856297351600382e-06,80.19497202466982,29,IGHM;ARHGEF26;IGHV4-34;DPT;IGLV3-1;ABO;IGLV2-8;SCUBE2;IGLV3-25;IGHG4
GTEx_Tissue_Expression_Up,GTEX-X4LF-1726-SM-3NMBZ adipose tissue male 50-59 years,1.0288527630999816e-08,7.4823317196446165e-06,77.02471902734612,26,RAMP2;PLEKHH2;PLEKHF1;LAMA2;SHOX2;DPT;FBLN2;IGHG4;IGHG2;RAI2
GTEx_Tissue_Expression_Up,GTEX-Q2AG-0226-SM-2S1P4 adipose tissue female 40-49 years,3.148309844489349e-08,1.831686667523903e-05,59.96540790286382,31,RAMP2;COL15A1;PLEKHH2;ACSS2;SEMA3C;TSHZ2;DPT;MEOX2;ADAMTS12;NR3C1
GTEx_Tissue_Expression_Up,GTEX-T6MN-0226-SM-32PMD adipose tissue male 50-59 years,4.640696884041327e-08,2.2499645392793698e-05,63.41414205449347,27,RAMP2;COL15A1;SEMA3C;CAB39L;TSHZ2;DPT;MEOX2;NR3C1;FBLN2;CYP26B1
GTEx_Tissue_Expression_Up,GTEX-PX3G-1426-SM-48U1J colon female 20-29 years,1.395262574801249e-07,5.7983126144240477e-05,54.508918992558925,28,ACSS2;IGHV4-34;DPT;IGLV3-1;ABO;IGLV2-8;SCUBE2;HOXA-AS3;IGLV3-25;IGLV1-40
GTEx_Tissue_Expression_Up,GTEX-XMK1-1126-SM-4IHJ8 breast male 40-49 years,1.6899665548396695e-07,5.807164785475247e-05,52.071727284479934,29,RAMP2;COL15A1;ACSS2;PLEKHF1;DPT;CCDC107;F11R;ADAMTS12;TRHDE;GNAI1
GTEx_Tissue_Expression_Up,GTEX-WVLH-0226-SM-3MJG6 adipose tissue male 50-59 years,1.8025657305680312e-07,5.807164785475247e-05,55.70319841421216,26,RAMP2;COL15A1;ACSS2;SEMA3C;DPT;MEOX2;ADAMTS12;NR3C1;FBLN2;PALMD
GTEx_Tissue_Expression_Up,GTEX-WH7G-1326-SM-4LVMS colon male 40-49 years,1.9969627890054054e-07,5.807164785475247e-05,55.021477276356286,26,ACSS2;CAB39L;IGLV3-1;GBA2;ABO;CLYBL;IGLV2-8;IGLV3-25;IGLV1-40;IGLV6-57
GTEx_Tissue_Expression_Up,GTEX-PWCY-1926-SM-3NB25 adipose tissue female 20-29 years,2.19590280647053e-07,5.807164785475247e-05,51.68920994865614,28,RAMP2;COL15A1;PDE1B;WDR20;CCDC107;ADAMTS12;NR3C1;FBLN2;TRHDE;GNAI1
GTEx_Tissue_Expression_Up,GTEX-PWN1-0226-SM-2S1OZ adipose tissue female 40-49 years,2.5750923864118686e-07,6.242453126726771e-05,48.515009787160274,30,RAMP2;ACSS2;PLEKHF1;CAB39L;TSHZ2;CCDC107;ADAMTS12;FBLN2;GNAI1;SCUBE2
GTEx_Tissue_Expression_Up,GTEX-U4B1-1726-SM-3DB9F adipose tissue male 40-49 years,2.852699156810052e-07,6.383462959354185e-05,54.17680241941952,25,RAMP2;ACSS2;PDE1B;TRHDE;GNAI1;GLIS1;CYP26B1;PALMD;PALM;GPC3
GTEx_Tissue_Expression_Up,GTEX-V955-2026-SM-3GAFA breast male 60-69 years,3.786440144526122e-07,7.867681700304636e-05,46.35863277673702,30,RAMP2;ACSS2;WDR20;DPT;ADAMTS12;TRHDE;GNAI1;SCUBE2;CYP26B1;PALMD
GTEx_Tissue_Expression_Up,GTEX-XAJ8-0926-SM-47JXZ adipose tissue male 40-49 years,4.1392830788687293e-07,8.027449650952755e-05,54.96231494196351,23,TCF7L2;RAMP2;GSN;PLEKHF1;ANXA5;SHOX2;DPT;CCDC107;F3;FBLN2
GTEx_Tissue_Expression_Up,GTEX-S341-1626-SM-3K2B8 adipose tissue female 40-49 years,6.106458531945024e-07,0.00010692609983887341,43.765553472465506,30,RAMP2;COL15A1;ACSS2;CAB39L;DPT;ADAMTS12;NR3C1;GNAI1;SCUBE2;TMEM43
GTEx_Tissue_Expression_Up,GTEX-WL46-0326-SM-3LK6Y adipose tissue male 50-59 years,6.24868923087263e-07,0.00010692609983887341,46.60440816044016,27,RAMP2;COL15A1;SEMA3C;OGG1;TSHZ2;SHOX2;MEOX2;NR3C1;FBLN2;ROBO1
GTEx_Tissue_Expression_Up,GTEX-WHWD-0826-SM-3LK6R adipose tissue male 50-59 years,9.540298168065573e-07,0.00015418181872723752,45.25115649393645,26,RAMP2;LAMA2;SEMA3C;PDE1B;OGG1;TSHZ2;MEOX2;BARX1;TRHDE;GNAI1
GTEx_Tissue_Expression_Up,GTEX-S33H-0326-SM-4AD6N breast male 30-39 years,1.0848405219582508e-06,0.00016609479359876587,41.58133919525833,29,RAMP2;COL15A1;ACSS2;SEMA3C;PDE1B;TSHZ2;DPT;F11R;MEOX2;ADAMTS12
GTEx_Tissue_Expression_Up,GTEX-PX3G-0226-SM-3NB2C adipose tissue female 20-29 years,1.2473903320218399e-06,0.0001814329237925766,38.62995243268262,32,RAMP2;COL15A1;PLEKHH2;ACSS2;SEMA3C;TSHZ2;ADAMTS12;NR3C1;FBLN2;TRHDE
GTEx_Tissue_Expression_Up,GTEX-S33H-1126-SM-2XCB6 adipose tissue male 30-39 years,1.6214127023332841e-06,0.0002246042643375011,36.77547598364727,33,COL15A1;ACSS2;SEMA3C;MCM9;TSHZ2;DPT;MEOX2;ADAMTS12;NR3C1;TRHDE
GTEx_Tissue_Expression_Up,GTEX-P78B-0226-SM-3NB1Z adipose tissue female 40-49 years,1.711796364748281e-06,0.00022634616477512496,44.137203841414845,24,GSDMB;GSN;ACSS2;CAV1;TSHZ2;EBF2;COPZ2;DPT;MEOX2;ADAMTS12
GO_Biological_Process_2023,Cardiac Pacemaker Cell Development (GO:0060926),1.9513724475964646e-07,0.0002335792819772968,2883.2382024838475,4,SHOX2;TBX5;TBX18;TBX3
GTEx_Tissue_Expression_Up,GTEX-QDVJ-1326-SM-48U1X colon male 50-59 years,2.7230311215170176e-06,0.0003444042405431741,45.36801908862345,21,IGHV5-51;GSDMB;COL15A1;IGKV1-5;IGHV4-34;DPT;GBA2;IGLV2-8;IGLV3-25;IGHG4
