"donor","localization","ensg"
0,0,"ENSG00000225972.1"
2.26438315042065e-12,0.106025539324175,"ENSG00000225630.1"
0,0,"ENSG00000237973.1"
0.233223353303237,0,"ENSG00000229344.1"
0,0,"ENSG00000248527.1"
0,0,"ENSG00000198744.5"
0,0,"ENSG00000228327.3"
5.98932885086578e-17,0.113600569641917,"ENSG00000237491.10"
0,0,"ENSG00000177757.2"
0,0,"ENSG00000228794.9"
0,0,"ENSG00000225880.5"
0,0.109851260822272,"ENSG00000223764.2"
0,0,"ENSG00000187634.12"
2.27722777179823e-07,0.232947864544958,"ENSG00000188976.11"
0,0,"ENSG00000187961.14"
7.20815118880317e-10,0.102212391660575,"ENSG00000187583.11"
0,0,"ENSG00000187642.9"
0,0.329283967595607,"ENSG00000272512.1"
0,0,"ENSG00000188290.10"
0.368433421010115,0,"ENSG00000187608.10"
0.423707902331794,0.0914023596058791,"ENSG00000188157.15"
0,0,"ENSG00000217801.10"
0,0,"ENSG00000131591.17"
0.344919729674182,0,"ENSG00000285812.1"
0.381580431145277,3.07418237420659e-12,"ENSG00000186891.14"
0,0,"ENSG00000186827.11"
0,0,"ENSG00000078808.17"
0,0.139090275982855,"ENSG00000176022.7"
0.592253981489048,0,"ENSG00000184163.3"
0.0295177747894572,6.07966779260207e-15,"ENSG00000260179.1"
0.357243549281445,0.163985562382885,"ENSG00000160087.20"
0.0831850037146268,2.61683376681488e-10,"ENSG00000230415.1"
0.702158580720601,1.49932421814376e-11,"ENSG00000162572.21"
0.39237884247558,0.336320434641162,"ENSG00000131584.19"
0,0.0431905108317951,"ENSG00000169972.12"
0,0,"ENSG00000127054.20"
0.00192701689758498,0.0210115209210689,"ENSG00000240731.1"
0.0119473479155131,1.21310678988053e-06,"ENSG00000224051.7"
0,0,"ENSG00000169962.5"
0,0,"ENSG00000107404.20"
0.495673378131417,0,"ENSG00000162576.16"
0.322601924845127,1.13083168301211e-15,"ENSG00000175756.13"
0,0,"ENSG00000221978.12"
0.109311618844629,0,"ENSG00000224870.7"
0.259031123785638,0,"ENSG00000242485.6"
0.444060998470713,2.98442792457318e-12,"ENSG00000272455.1"
2.81342078131295e-12,0.0208449355691028,"ENSG00000235098.8"
0.140360600569844,4.07653166464003e-08,"ENSG00000225285.1"
0,0,"ENSG00000179403.12"
0,0,"ENSG00000215915.10"
0.0686103698349925,0.0191009801621035,"ENSG00000160072.20"
0.413474543626826,1.14185382052132e-14,"ENSG00000197785.14"
0.0303322049117639,3.61459685659233e-14,"ENSG00000205090.9"
0.876637229827961,0.0475300255775783,"ENSG00000160075.12"
0,0.130485810257075,"ENSG00000215014.5"
0.0981066407787221,0,"ENSG00000228594.4"
0,0,"ENSG00000272106.1"
0.633694122993982,0.0735295680260983,"ENSG00000197530.12"
0.002723678809929,0,"ENSG00000248333.8"
0,0,"ENSG00000189339.12"
0.165608663347206,0,"ENSG00000269737.2"
0.358717253228139,1.08683437632772e-11,"ENSG00000008128.23"
0.354080600470998,1.80127742717979e-12,"ENSG00000268575.1"
0.602245398137252,3.41133517570125e-12,"ENSG00000215790.7"
