"donor","localization","ensg"
0.172591480393583,0.429192111111631,"ENSG00000225972.1"
0.0238856430547003,0.368215381929227,"ENSG00000225630.1"
0.203309469916478,0.392948966064499,"ENSG00000237973.1"
2.68598475383565e-20,0.146297830561727,"ENSG00000229344.1"
0.0400402426120043,0,"ENSG00000248527.1"
0.00370082548697702,0.384412386928102,"ENSG00000198744.5"
0,0,"ENSG00000228327.3"
0,0,"ENSG00000237491.10"
0.233573789055121,8.67012888483559e-15,"ENSG00000177757.2"
0.158618519152012,0.628173002037462,"ENSG00000228794.9"
0,0,"ENSG00000225880.5"
1.39221971570993e-16,0.204546115632451,"ENSG00000223764.2"
0,0,"ENSG00000187634.12"
0,0,"ENSG00000188976.11"
0,2.01286629051514e-16,"ENSG00000187961.14"
0.0117742519132453,0.433458432272531,"ENSG00000187583.11"
0,0,"ENSG00000187642.9"
0,0,"ENSG00000272512.1"
0,0,"ENSG00000188290.10"
0,0,"ENSG00000187608.10"
0,0,"ENSG00000188157.15"
2.01990880966381e-15,0.189518151396889,"ENSG00000217801.10"
1.28538377137425e-11,0.314696262767114,"ENSG00000131591.17"
0,0,"ENSG00000285812.1"
0.156820072337932,0.521181117315856,"ENSG00000162571.13"
0,0.612526689419944,"ENSG00000186891.14"
0,0,"ENSG00000186827.11"
0,0,"ENSG00000078808.17"
0,0.0699481216215583,"ENSG00000176022.7"
0,0.139016150130271,"ENSG00000184163.3"
1.91174958295698e-09,0.470254948320806,"ENSG00000260179.1"
3.62371555004614e-16,0.442788151563206,"ENSG00000160087.20"
0,0,"ENSG00000230415.1"
0,0,"ENSG00000162572.21"
0,0,"ENSG00000131584.19"
0,0.643286821099317,"ENSG00000169972.12"
0,0,"ENSG00000127054.20"
0,0.225846878906818,"ENSG00000240731.1"
1.03569111351703e-09,0.0319585243303328,"ENSG00000224051.7"
0.0474019081622041,0.499533512235063,"ENSG00000169962.5"
0,0.00275500307941577,"ENSG00000107404.20"
6.57377034811248e-15,0.230140231291191,"ENSG00000162576.16"
1.89597792651496e-13,0.289926252527068,"ENSG00000175756.13"
0,0.28196681935662,"ENSG00000221978.12"
0.19280269517265,0.472178290407254,"ENSG00000224870.7"
0.321000911062683,0,"ENSG00000242485.6"
0,0.13337615864539,"ENSG00000272455.1"
6.68142854352376e-14,0.0323730490431171,"ENSG00000235098.8"
0,0,"ENSG00000225285.1"
0,0,"ENSG00000179403.12"
0,0,"ENSG00000215915.10"
1.7160895206733e-10,0.283978651654802,"ENSG00000160072.20"
0.103381845808489,0.391180118395374,"ENSG00000197785.14"
0,0.242043234910103,"ENSG00000205090.9"
0,0.282991090846918,"ENSG00000160075.12"
2.41290444880721e-21,0.148899877427261,"ENSG00000215014.5"
0.144634870806601,0.293890552512038,"ENSG00000228594.4"
0,0,"ENSG00000272106.1"
0,0,"ENSG00000197530.12"
1.59417638684402e-21,0.0239885689018341,"ENSG00000248333.8"
0.0843688345486197,0.290280912717343,"ENSG00000189339.12"
0,0,"ENSG00000269737.2"
0.0900559401171794,6.92542750007964e-12,"ENSG00000008128.23"
0,0,"ENSG00000268575.1"
0,0,"ENSG00000215790.7"
0,0.26200322844196,"ENSG00000008130.15"
0.456059084782936,0.0892688471856279,"ENSG00000078369.18"
0.173433604779366,0.286529224340541,"ENSG00000231050.1"
0,0.138349142895599,"ENSG00000067606.17"
0.0365954186159492,0,"ENSG00000162585.17"
