ensg,symbol,name,pct_loc_M3,pct_loc_M1,pct_loc_M2,pct_Hemato,pct_Bone
ENSG00000287373.1,,,0.9712,0.9726,0.0000,0.0001,0.0067
ENSG00000089225.19,,,0.9703,0.9922,0.0731,0.0115,0.0102
ENSG00000139910.20,,,0.9429,0.9866,0.0488,0.0206,0.0174
ENSG00000169218.14,,,0.9235,0.9734,0.3783,0.0017,0.0695
ENSG00000197614.11,,,0.9205,0.9280,0.0058,0.0307,0.0154
ENSG00000156103.16,,,0.9158,0.9351,0.0000,0.0159,0.0108
ENSG00000232079.7,,,0.8886,0.9533,0.0000,0.0050,0.1036
ENSG00000108799.13,,,0.8883,0.8666,0.0422,0.0018,0.0381
ENSG00000211893.4,,,0.8812,0.9589,0.0000,0.0161,0.0409
ENSG00000211653.2,,,0.8706,0.8464,0.0000,0.0039,0.0107
ENSG00000211937.3,,,0.8612,0.8797,0.0000,0.0264,0.0709
ENSG00000228035.1,,,0.8561,0.9608,0.0000,0.0195,0.0655
ENSG00000138615.6,,,0.8543,0.9013,0.0000,0.0455,0.0401
ENSG00000211679.2,,,0.8524,0.8076,0.0000,0.0203,0.0137
ENSG00000102547.19,,,0.8445,0.8028,0.0793,0.0752,0.0011
ENSG00000211673.2,,,0.8439,0.8602,0.0000,0.0034,0.0966
ENSG00000177363.5,,,0.8404,0.8841,0.0000,0.0445,0.0852
ENSG00000116194.13,,,0.8181,0.8444,0.0000,0.0134,0.1356
ENSG00000072958.8,,,0.8178,0.7853,0.1926,0.0132,0.1127
ENSG00000211966.2,,,0.8175,0.8343,0.0000,0.0143,0.1088
ENSG00000243466.1,,,0.8172,0.8793,0.0000,0.0519,0.0721
ENSG00000231365.6,,,0.8164,0.8422,0.0000,0.0001,0.1488
ENSG00000267508.5,,,0.8125,0.7715,0.0000,0.0449,0.0243
ENSG00000004866.20,,,0.7988,0.7668,0.0000,0.1318,0.0059
ENSG00000229240.9,,,0.7975,0.8060,0.0915,0.0037,0.1612
ENSG00000270550.1,,,0.7943,0.8144,0.0000,0.0099,0.1410
ENSG00000182667.14,,,0.7917,0.8451,0.0000,0.0001,0.1874
ENSG00000149474.13,,,0.7874,0.7851,0.0000,0.0349,0.1383
ENSG00000114026.21,,,0.7854,0.7052,0.0071,0.0054,0.1482
ENSG00000117335.19,,,0.7832,0.7003,0.0031,0.0077,0.1324
ENSG00000211666.2,,,0.7809,0.8558,0.0000,0.0505,0.1259
ENSG00000161558.11,,,0.7760,0.7421,0.1321,0.0009,0.1857
ENSG00000101049.17,,,0.7739,0.8012,0.3096,0.0000,0.2042
ENSG00000286746.1,,,0.7737,0.9507,0.0000,0.0186,0.1205
ENSG00000143196.5,,,0.7714,0.8283,0.0000,0.0222,0.1625
ENSG00000211640.4,,,0.7705,0.7652,0.0000,0.0093,0.1685
ENSG00000203392.3,,,0.7700,0.7464,0.1432,0.0008,0.1731
ENSG00000211892.4,,,0.7660,0.7251,0.0000,0.0809,0.0343
ENSG00000196569.12,,,0.7599,0.8278,0.1679,0.0177,0.2114
ENSG00000211967.3,,,0.7580,0.7954,0.0000,0.0037,0.2156
ENSG00000086570.12,,,0.7563,0.7480,0.0065,0.0061,0.2106
ENSG00000140153.17,,,0.7562,0.6949,0.0000,0.0438,0.1318
ENSG00000113580.15,,,0.7556,0.7146,0.0000,0.0298,0.1788
ENSG00000211956.2,,,0.7514,0.8460,0.0000,0.0647,0.0892
ENSG00000064205.10,,,0.7503,0.7922,0.1878,0.0034,0.2226
ENSG00000211935.3,,,0.7487,0.8416,0.0000,0.0072,0.2298
ENSG00000267385.1,,,0.7477,0.7278,0.0000,0.0433,0.1512
ENSG00000156463.18,,,0.7476,0.7583,0.0167,0.0302,0.1995
ENSG00000147202.18,,,0.7466,0.6482,0.0000,0.0000,0.1986
ENSG00000117868.17,,,0.7461,0.6942,0.0000,0.0195,0.1998
ENSG00000147257.14,,,0.7427,0.7517,0.1136,0.0018,0.2182
ENSG00000073605.18,,,0.7421,0.7389,0.0000,0.1174,0.1067
ENSG00000196653.12,,,0.7370,0.7565,0.4146,0.0004,0.1830
ENSG00000211660.3,,,0.7361,0.8258,0.0000,0.0001,0.2574
ENSG00000139116.18,,,0.7358,0.6733,0.0000,0.0231,0.1868
ENSG00000280347.1,,,0.7327,0.7222,0.0000,0.0587,0.1795
ENSG00000163520.14,,,0.7310,0.7780,0.0000,0.0237,0.2259
ENSG00000151388.11,,,0.7296,0.7885,0.1153,0.0002,0.2626
ENSG00000287431.1,,,0.7271,0.5919,0.0000,0.0006,0.2186
ENSG00000114126.17,,,0.7267,0.6794,0.0000,0.1848,0.0482
ENSG00000166685.12,,,0.7263,0.7638,0.0000,0.0746,0.1891
ENSG00000141542.11,,,0.7260,0.7340,0.0000,0.0000,0.2234
ENSG00000128923.11,,,0.7255,0.5831,0.1361,0.0872,0.1251
ENSG00000173698.18,,,0.7254,0.6449,0.0000,0.0407,0.1886
ENSG00000236304.1,,,0.7237,0.7725,0.0000,0.1264,0.1200
ENSG00000165055.15,,,0.7213,0.6125,0.0000,0.0238,0.2073
ENSG00000286322.1,,,0.7212,0.7186,0.2600,0.0281,0.2004
ENSG00000058668.14,,,0.7203,0.6960,0.0000,0.0043,0.2571
ENSG00000115884.11,,,0.7202,0.8825,0.1214,0.1013,0.0031
ENSG00000107021.16,,,0.7196,0.6870,0.0070,0.0158,0.2122
ENSG00000255176.1,,,0.7187,0.6831,0.0000,0.0218,0.2169
ENSG00000278983.1,,,0.7168,0.6953,0.2409,0.0198,0.2453
ENSG00000277737.3,,,0.7155,0.7781,0.0789,0.1057,0.0604
ENSG00000172260.15,,,0.7126,0.7561,0.0000,0.0027,0.2463
ENSG00000136367.14,,,0.7106,0.5914,0.0000,0.0470,0.2034
ENSG00000115286.20,,,0.7103,0.7475,0.3118,0.0114,0.2545
ENSG00000169245.6,,,0.7093,0.5808,0.0000,0.0564,0.0246
ENSG00000166289.6,,,0.7082,0.6264,0.0000,0.0539,0.2073
ENSG00000273729.1,,,0.7059,0.5782,0.0000,0.0213,0.2051
ENSG00000158769.18,,,0.7042,0.6038,0.0000,0.0620,0.2024
ENSG00000241351.3,,,0.7037,0.7037,0.0000,0.0116,0.2399
ENSG00000125246.15,,,0.7033,0.5486,0.2971,0.0433,0.1953
ENSG00000053438.11,,,0.7024,0.5495,0.1359,0.0244,0.2156
ENSG00000159884.12,,,0.7015,0.6655,0.0000,0.0834,0.2026
ENSG00000100528.12,,,0.7010,0.7131,0.0000,0.0031,0.2335
