ensg,symbol,name,pct_loc_M1,pct_loc_M3,pct_loc_M2,pct_Hemato,pct_Bone
ENSG00000105880.7,DLX5,distal-less homeobox 5,0.9509,0.5143,0.0000,0.0034,0.4385
ENSG00000026751.17,SLAMF7,SLAM family member 7,0.9251,0.5420,0.2050,0.2796,0.0959
ENSG00000131668.14,BARX1,BARX homeobox 1,0.9454,0.5860,0.0000,0.0482,0.3102
ENSG00000021645.18,NRXN3,neurexin 3,0.8734,0.5431,0.0000,0.0083,0.3636
ENSG00000211637.2,IGLV4-69,immunoglobulin lambda variable 4-69,0.8071,0.5138,0.0000,0.2423,0.1295
ENSG00000161944.16,ASGR2,asialoglycoprotein receptor 2,0.9014,0.6126,0.0000,0.2508,0.0277
ENSG00000211899.10,IGHM,immunoglobulin heavy constant mu,0.8309,0.5703,0.0000,0.3105,0.0998
ENSG00000211938.2,IGHV3-7,immunoglobulin heavy variable 3-7,0.8978,0.6457,0.0000,0.2333,0.0329
ENSG00000211898.7,IGHD,immunoglobulin heavy constant delta,0.8247,0.5838,0.0000,0.1854,0.0846
ENSG00000188599.17,NPIPP1,nuclear pore complex interacting protein pseudogene 1,0.7521,0.5377,0.0000,0.1126,0.1813
ENSG00000211659.2,IGLV3-25,immunoglobulin lambda variable 3-25,0.8740,0.6692,0.0000,0.1435,0.0450
ENSG00000211890.4,IGHA2,immunoglobulin heavy constant alpha 2 (A2m marker),0.8815,0.6844,0.0000,0.1394,0.0158
ENSG00000107815.10,TWNK,twinkle mtDNA helicase,0.7997,0.6107,0.0000,0.1252,0.2077
ENSG00000286746.1,,,0.9507,0.7737,0.0000,0.0186,0.1205
ENSG00000115884.11,SDC1,syndecan 1,0.8825,0.7202,0.1214,0.1013,0.0031
ENSG00000175164.15,ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",0.6819,0.5389,0.0000,0.1764,0.1253
ENSG00000244968.7,LIFR-AS1,LIFR antisense RNA 1,0.7922,0.6657,0.0000,0.0605,0.1561
ENSG00000269867.1,,,0.6844,0.5612,0.0054,0.1812,0.0491
ENSG00000161929.15,SCIMP,SLP adaptor and CSK interacting membrane protein,0.7100,0.5903,0.0000,0.0942,0.2932
ENSG00000238005.4,LNCATV,lncRNA negative regulator of antiviral signaling,0.6930,0.5755,0.0366,0.0039,0.2204
ENSG00000112837.17,TBX18,T-box transcription factor 18,0.8112,0.7003,0.0000,0.0000,0.2899
ENSG00000228035.1,NGF-AS1,NGF antisense RNA 1,0.9608,0.8561,0.0000,0.0195,0.0655
ENSG00000211956.2,IGHV4-34,immunoglobulin heavy variable 4-34,0.8460,0.7514,0.0000,0.0647,0.0892
ENSG00000211935.3,IGHV1-3,immunoglobulin heavy variable 1-3,0.8416,0.7487,0.0000,0.0072,0.2298
ENSG00000211660.3,IGLV2-23,immunoglobulin lambda variable 2-23,0.8258,0.7361,0.0000,0.0001,0.2574
ENSG00000171016.12,PYGO1,pygopus family PHD finger 1,0.7796,0.6954,0.0079,0.0044,0.2621
ENSG00000104267.10,CA2,carbonic anhydrase 2,0.7051,0.6246,0.0129,0.0815,0.2454
ENSG00000211893.4,IGHG2,immunoglobulin heavy constant gamma 2 (G2m marker),0.9589,0.8812,0.0000,0.0161,0.0409
ENSG00000211666.2,IGLV2-14,immunoglobulin lambda variable 2-14,0.8558,0.7809,0.0000,0.0505,0.1259
ENSG00000196569.12,LAMA2,laminin subunit alpha 2,0.8278,0.7599,0.1679,0.0177,0.2114
ENSG00000131831.18,RAI2,retinoic acid induced 2,0.7062,0.6399,0.1841,0.0173,0.3227
ENSG00000232079.7,LINC01697,long independently transcribed non-coding RNA 1697,0.9533,0.8886,0.0000,0.0050,0.1036
ENSG00000277737.3,,,0.7781,0.7155,0.0789,0.1057,0.0604
ENSG00000243466.1,IGKV1-5,immunoglobulin kappa variable 1-5,0.8793,0.8172,0.0000,0.0519,0.0721
ENSG00000245937.8,SLC12A2-DT,SLC12A2 divergent transcript,0.7458,0.6840,0.0000,0.0461,0.2574
ENSG00000188897.9,APOLTP,apolipoprotein lipid transfer particle homolog,0.5866,0.5269,0.0000,0.0034,0.2957
ENSG00000151388.11,ADAMTS12,ADAM metallopeptidase with thrombospondin type 1 motif 12,0.7885,0.7296,0.1153,0.0002,0.2626
ENSG00000143196.5,DPT,dermatopontin,0.8283,0.7714,0.0000,0.0222,0.1625
ENSG00000176595.4,KBTBD11,kelch repeat and BTB domain containing 11,0.6395,0.5850,0.1490,0.0599,0.3051
ENSG00000182667.14,NTM,neurotrimin,0.8451,0.7917,0.0000,0.0001,0.1874
